Variable,Target_Correlation,Abs_Target_Correlation,VIF
FoT Formaldehyde above75ᵗʰ percentile,-0.564069830007999,0.564069830007999,168.25281049127346
FoT Isoprene above75ᵗʰ percentile,-0.5305716041249067,0.5305716041249067,63.940403228941975
Isoprene,-0.5065528193927465,0.5065528193927465,40.87624156234195
FoT Peroxyacetyl Nitrate above75ᵗʰ percentile,-0.49928463498678016,0.49928463498678016,179.53518096342594
Wet bulb temperature,-0.472694785634297,0.472694785634297,260.8120103481232
FoT Temperature below25ᵗʰ percentile,0.45029488468092976,0.45029488468092976,331.45459016658015
FoT Temperature above75ᵗʰ percentile,-0.43409279792763006,0.43409279792763006,394.44653669750403
Sulphate AOD at 550 nm,-0.4319424679709608,0.4319424679709608,412.07112628640687
Snow albedo,-0.4173954928182005,0.4173954928182005,8546.449696994674
FoT Hydrogen peroxide above75ᵗʰ percentile,-0.40512005428132797,0.40512005428132797,195.64437548220178
Dust AOD at 550 nm,-0.35017310575462146,0.35017310575462146,54.08353622492661
Mean sea level pressure,-0.33051927922115926,0.33051927922115926,21997.235362240044
Sulphate aerosol mixing ratio,-0.31480231820093035,0.31480231820093035,245.46362489926835
Dust aerosol (0.55-0.9 µm) mixing ratio,-0.30803163448757587,0.30803163448757587,106.4278391676813
Hydroxyl radical,0.3061761788895732,0.3061761788895732,262.4129347387171
FoT Nitrogen monoxide above75ᵗʰ percentile,0.30067783648152124,0.30067783648152124,46.286743336615025
FoT Ozone above75ᵗʰ percentile,-0.29227513450648557,0.29227513450648557,236.9260035082047
"Leaf area index, low vegetation",-0.28647259601377306,0.28647259601377306,16.800414593456278
Surface pressure,-0.2778773734524444,0.2778773734524444,9093.120696121849
Black carbon AOD at 550 nm,0.2729105039980378,0.2729105039980378,233.9572300623772
"Leaf area index, high vegetation",-0.25261153707760614,0.25261153707760614,18.29031520780816
Hydrophilic black carbon aerosol mixing ratio,0.24439498196939538,0.24439498196939538,186.4404570317434
Snow depth,0.2365191480952474,0.2365191480952474,3.609768100480503
Ethane,0.19531016264859954,0.19531016264859954,1139.054821011205
10m wind speed,0.19456202853419316,0.19456202853419316,15.33501305941524
FoT PM$_{2.5}$ above75ᵗʰ percentile,-0.1765850180114281,0.1765850180114281,196.41109331748217
Land-sea mask,-0.17236267294468316,0.17236267294468316,298.56193451279256
Hydrophilic organic matter aerosol mixing ratio,0.15980571046455977,0.15980571046455977,1227.396672359365
FoT Hydroxyl radical above75ᵗʰ percentile,0.14687607338206965,0.14687607338206965,330.7922698826221
Hydrophobic organic matter aerosol mixing ratio,0.12301719819008758,0.12301719819008758,528.7737041052886
FoT Ethane above75ᵗʰ percentile,0.12030423729516883,0.12030423729516883,145.26825448157518
Hydrophobic black carbon aerosol mixing ratio,0.11398588388392028,0.11398588388392028,34.413258845322716
Sea salt aerosol (5-20 µm) mixing ratio,0.10901773823593001,0.10901773823593001,42.55440660316918
FoT Sulphur dioxide above75ᵗʰ percentile,-0.10762960501013055,0.10762960501013055,17.306970891433227
FoT Propane above75ᵗʰ percentile,0.10732415729329584,0.10732415729329584,36.314814353682856
Sea salt AOD at 550 nm,-0.08646183660044476,0.08646183660044476,69.64187231542988
Organic matter AOD at 550 nm,0.08483441264192648,0.08483441264192648,1406.1966572613624
FoT Carbonmonoxide above75ᵗʰ percentile,-0.07776244174624695,0.07776244174624695,209.77088286952792
Relative humidity,-0.06682636837513,0.06682636837513,441.7299040162805
Sea salt aerosol (0.5-5 µm) mixing ratio,0.053385089959435514,0.053385089959435514,160.91918236130203
FoT Nitrogen dioxide above75ᵗʰ percentile,0.05008929640559255,0.05008929640559255,125.04256127107263
Sea salt aerosol (0.03-0.5 µm) mixing ratio,0.04389650310404748,0.04389650310404748,480.3907208009721
Carbon monoxide,0.02989643488804574,0.02989643488804574,1125.3459805103173
FoT Nitric acid above75ᵗʰ percentile,0.00832473825523206,0.00832473825523206,75.03920248340407
Dust aerosol (0.9-20 µm) mixing ratio,0.002410973887744265,0.002410973887744265,7.613759298390564
